시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,도로명주소,도로명상세주소,적재일시
B10,서울특별시교육청,광진구,교습소,3000032331,더뉴스타운(The NEWS Town)영어교습소,20180801,20180801,개원,,,48,8,국제화,외국어,Basic Reading,실용외국어(유아/초·중·고),,Y,N,04961,서울특별시 광진구 자양로 282-1,/ 5층 일부 (구의동/ 난빌딩),20200830005523
B10,서울특별시교육청,광진구,교습소,3000018801,더랩(THE LAB)100℃영어교습소,20131212,20131212,개원,,,24,9,입시.검정 및 보습,보통교과,,보습,초등영어:170000/ 중등영어:220000/ 고등영어:270000/ 초등영어:200000/ 중등영어:240000/ 고등영어:290000,Y,N,143819,서울특별시 광진구 자양로 245,/ 3층 (구의동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000020173,더베스트수학교습소,20140520,20140520,개원,,,51,6,입시.검정 및 보습,보통교과,초등수학,보습,초등수학:140000/ 중등수학:170000/ 초등수학:150000/ 중등수학:200000/ 고등수학:250000/ 수학초등:160000/ 수학중등:200000/ 수학고등:250000,Y,N,143835,서울특별시 광진구 자양로23길 83,/ (구의동 634-12)/ 1층 일부 (구의동/(주)갈릴리유통),20200830005523
B10,서울특별시교육청,광진구,교습소,3000033614,더베스트영어교습소,20190201,20190201,개원,,,6,2,입시.검정 및 보습,보통교과,,보습,,Y,N,04974,서울특별시 광진구 광나루로 635,/ 220호 (광장동/ 광장현대3단지아파트),20200830005523
B10,서울특별시교육청,광진구,교습소,3000024637,더쎈수학교습소,20151124,20151124,개원,,,5,5,입시.검정 및 보습,보통교과,,보습,,Y,N,04980,서울특별시 광진구 천호대로138길 52,/  1층 (구의동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000028522,더아트미술교습소,20170309,20170309,개원,,,27,9,예능(대),예능(중),,미술,,Y,N,04984,서울특별시 광진구 아차산로 499,/ 상가동 2층 8호 (광장동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000025356,더클래스(Theclass)영어교습소,20160203,20160203,개원,,,8,9,입시.검정 및 보습,보통교과,초등영어,보습,,Y,N,05039,서울특별시 광진구 광나루로36길 72,/  1층 (구의동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000036934,더클래스영어교습소,20200526,20200526,개원,,,42,6,입시.검정 및 보습,보통교과,초등 영어,보습,,Y,N,04983,서울특별시 광진구 아차산로 549,/ 1017동 106호 (광장동/ 광장현대파크빌),20200830005523
B10,서울특별시교육청,광진구,교습소,3000017574,더피아노교습소,20130627,20130627,개원,,,8,9,예능(대),예능(중),,음악,,Y,N,143883,서울특별시 광진구 용마산로22길 11-5,/ 1층 (중곡동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000018047,델타수학교습소,20130828,20130828,개원,,,144,9,입시.검정 및 보습,보통교과,초등수학,보습,초등수학:150000/ 중등수학:250000/ 중등수학:320000/ 수학(단과)초등:250000/ 수학(단과)중등:180000/ 수학(단과)중등):300000/ 수학(단과)고등:340000/ 수학(단과)고등:340000/ 수학(단과)초등:150000/ 수학(단과)초등:250000/ 수학(단과)초등:200000/ 수학(단과)중등:180000/ 수학(단과)중등:300000/ 수학(단과)중등:320000/ 수학(단과)고등:340000/ 수학(단과)고등:400000,Y,N,143901,서울특별시 광진구 면목로 141-1,/ 2층 (중곡동),20200830005523
